xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.600     0.000   0.438737   0.011871   0.007093   0.018964   0.000000  -0.000000  -0.110443   0.000000   0.000000   50.0000     0.0586
    5.700     0.000   0.446049   0.012275   0.007149   0.019424   0.000000  -0.000000  -0.112173   0.000000   0.000000   50.0000     0.0586
    5.800     0.000   0.453000   0.012676   0.007238   0.019914   0.000000  -0.000000  -0.113761   0.000000   0.000000   50.0000     0.0585
    5.900     0.000   0.459629   0.013061   0.007367   0.020428   0.000000  -0.000000  -0.115196   0.000000   0.000000   50.0000     0.0583
    6.000     0.000   0.465980   0.013444   0.007517   0.020961   0.000000  -0.000000  -0.116523   0.000000   0.000000   50.0000     0.0582
    6.100     0.000   0.472285   0.013822   0.007684   0.021505   0.000000  -0.000000  -0.117819   0.000000   0.000000   50.0000     0.0580
    6.200     0.000   0.478569   0.014205   0.007855   0.022059   0.000000  -0.000000  -0.119113   0.000000  -0.000000   50.0000     0.0579
    6.300     0.000   0.484832   0.014591   0.008031   0.022622   0.000000  -0.000000  -0.120401   0.000000   0.000000   50.0000     0.0577
    6.400     0.000   0.491092   0.014988   0.008206   0.023195   0.000000  -0.000000  -0.121704   0.000000   0.000000   50.0000     0.0576
    6.500     0.000   0.497449   0.015389   0.008380   0.023769   0.000000  -0.000000  -0.123042   0.000000   0.000000   50.0000     0.0575
    6.600     0.000   0.503843   0.015792   0.008550   0.024342   0.000000  -0.000000  -0.124383   0.000000   0.000000   50.0000     0.0573
    6.700     0.000   0.510280   0.016205   0.008709   0.024914   0.000000  -0.000000  -0.125741   0.000000   0.000000   50.0000     0.0572
    6.800     0.000   0.516749   0.016624   0.008863   0.025487   0.000000  -0.000000  -0.127115   0.000000   0.000000   50.0000     0.0571
    6.900     0.000   0.523210   0.017052   0.009015   0.026067   0.000000  -0.000000  -0.128491   0.000000   0.000000   50.0000     0.0570
    7.000     0.000   0.529729   0.017487   0.009161   0.026649   0.000000  -0.000000  -0.129892   0.000000   0.000000   50.0000     0.0569
    7.100     0.000   0.536338   0.017926   0.009308   0.027234   0.000000  -0.000000  -0.131320   0.000000   0.000000   50.0000     0.0568
    7.200     0.000   0.543007   0.018375   0.009444   0.027819   0.000000  -0.000000  -0.132776   0.000000  -0.000000   50.0000     0.0567
    7.300     0.000   0.549731   0.018835   0.009569   0.028404   0.000000   0.000000  -0.134254   0.000000   0.000000   50.0000     0.0566
    7.400     0.000   0.556475   0.019302   0.009690   0.028992   0.000000  -0.000000  -0.135737   0.000000   0.000000   50.0000     0.0565
    7.500     0.000   0.563301   0.019776   0.009806   0.029582   0.000000  -0.000000  -0.137248   0.000000  -0.000000   50.0000     0.0564
